id,position,label,description,start_date,term,constituency,election,end_date,replaces,replaced_by
Q27734883,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,"Tanzanian general election, 2015",,,
Q27999359,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,"Tanzanian general election, 2015",,,
Q29579610,Q17599130,Member of the National Assembly of Tanzania,"",2017-01-23,11th Parliament of Tanzania,Dimani,by-election,,,
Q29579658,Q17599130,Member of the National Assembly of Tanzania,"",2017,11th Parliament of Tanzania,,,,,
Q29579700,Q17599130,Member of the National Assembly of Tanzania,"",2017,11th Parliament of Tanzania,,,,,
Q29904609,Q17599130,Member of the National Assembly of Tanzania,"",2017-05-04,11th Parliament of Tanzania,,,,,
Q30090478,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Magomeni,"Tanzanian general election, 2015",,,
Q30090479,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Newala Rural,"Tanzanian general election, 2015",,,
Q30090480,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,"Tanzanian general election, 2015",,,
Q30090484,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,"Tanzanian general election, 2015",,,
Q30090486,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kiwengwa,"Tanzanian general election, 2015",,,
Q30090488,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,"Tanzanian general election, 2015",,,
Q30090491,Q17599130,Member of the National Assembly of Tanzania,"",2016,11th Parliament of Tanzania,,,,,
