id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
562a53e7-4ee9-4c0e-a9c0-3661572e834e,Khadija Ziyani,Ziyani Khadija,,,,Parti de l'Union Constitutionnelle,UC,area/national,National,House of Representatives,10,,,,female
ae7bc646-7566-4c90-bd43-69959a5513b3,Khaled Chennaq,Chennaq Khaled,,,,Rassemblement National des Indépendants,RNI,area/national,National,House of Representatives,10,,,,
99967a9d-f515-4e69-bf4a-6662827b1c42,Khaled Mansouri,Mansouri Khaled,,,,Parti Authenticité et Modernité,PAM,area/beni_-_mellal,BENI - MELLAL,House of Representatives,10,,,,
5c5dcc12-cafa-4c5b-8aab-b26dab7cd16e,Khaled Tkoukin,Tkoukin Khaled,,,,Parti de la Justice et du Développement,PJD,area/azilal_-_demnate,AZILAL - DEMNATE,House of Representatives,10,,,,
bde1438d-4afd-4ae7-bf8b-606522cba432,Khalid EL BOUKARAI,El Boukarai Khalid,,,,Parti de la Justice et du Développement,PJD,area/el_hajeb,EL HAJEB,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_15.jpg?itok=vlncARjY,
04b44810-e26d-44d0-817f-8025e402de7c,Lahcen AITICHOU,Ait Ichou Lahcen,,,,Mouvement Populaire,MP,area/khenifra,KHENIFRA,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_392.jpg?itok=XMs7X5eO,
a4802901-51fb-439c-ae35-e744056bcd38,Lahcen Daoudi,Daoudi Lahcen,,,,Parti de la Justice et du Développement,PJD,area/beni_-_mellal,BENI - MELLAL,House of Representatives,10,,,,
8aa0f2e8-688a-4b8e-b82b-926eae405b4b,Lahcen Haddad,Haddad Lahcen,,,,Parti de l'Istiqlal,PI,area/khouribga,KHOURIBGA,House of Representatives,10,,,,
db3f843c-5d68-4da4-bea2-f5070f256f25,Lahcen Ouaari,Ouaari Lahcen,,,,Parti de la Justice et du Développement,PJD,area/zagora,ZAGORA,House of Representatives,10,,,,
53dbeeca-c0e5-486e-935e-446bdcb00077,Lahcen Sekkouri,Sekkouri Lahcen,,,,Mouvement Populaire,MP,area/sefrou,SEFROU,House of Representatives,10,,,,
a0fcd94b-5ba0-4db3-9373-fa5a905c8260,Latifa El hamoud,El hamoud Latifa,,,,Parti Authenticité et Modernité,PAM,area/national,National,House of Representatives,10,,,,female
33399f3e-5542-41cc-9842-9606feb50022,Leila Ahkim,Ahkim Leila,,,,Mouvement Populaire,MP,area/national,National,House of Representatives,10,,,,female
bc8f90ff-2b5b-4f7a-8b49-678f3048d00e,Loubna Elkohli,Elkohli Loubna,,,,Parti de la Justice et du Développement,PJD,area/national,National,House of Representatives,10,,,,
cd7615b4-2615-4341-98e0-b5abed376995,Loubna Tahiri,Tahiri Loubna,,,,Mouvement Populaire,MP,area/national,National,House of Representatives,10,,,,female
031fcf74-cbf1-42d7-aa2c-75fb63627cd8,Mahmoud Amri,Amri Mahmoud,,,,Parti de la Justice et du Développement,PJD,area/national,National,House of Representatives,10,,,,
d5da204c-22e0-4221-afa4-6885bbcc6a0d,Majda Benarbia,Benarbia Majda,,,,Parti de la Justice et du Développement,PJD,area/national,National,House of Representatives,10,,,,female
4073acf0-6f54-4f67-9bf1-da0ac286ca91,Malika Khalil,Khalil Malika,,,,Parti Authenticité et Modernité,PAM,area/national,National,House of Representatives,10,,,,female
174be709-0e84-492a-a7bc-3ea02cdbd453,Mbarek BOUAIDA,Bouaida Mbarka,,,,Rassemblement National des Indépendants,RNI,area/guelmim,GUELMIM,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_339.jpg?itok=t3igEPxP,
43045ecd-432e-4149-912e-14ab3192a7c4,Mbarek TARMOUNIA,Tarmounia Mbarek,,,,Parti de l'Istiqlal,PI,area/el_jadida,EL JADIDA,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_244.jpg?itok=QR5xo4ks,
