id,position,label,description,start_date,replaces,replaced_by,end_date,of,constituency,term,election,party
Q1448348,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448392,Q18327335,Member of the Abgeordnetenhaus of Berlin,"","",,,,,,,,
Q1448392,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448421,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448434,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q1448434,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448495,Q18618563,Member of Landtag of Rhineland-Palatinate,"","",,,,,,,,
Q1448495,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448535,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448759,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448802,Q18130478,Member of the Landtag of Saarland,"","",,,,,,,,
Q1448802,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448849,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448944,Q18130478,Member of the Landtag of Saarland,"","",,,,,,,,
Q1448944,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449042,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449065,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449241,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449268,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449268,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q1449318,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449323,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449323,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1449394,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449410,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449527,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449615,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449688,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q1449688,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449743,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449820,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q1449820,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1449990,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1450083,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1450109,Q18327335,Member of the Abgeordnetenhaus of Berlin,"","",,,,,,,,
Q1450109,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1450109,Q928764,parliamentary group leader,holds an influential political post in a parliamentary system with strong party discipline,"",,,,,,,,
Q1450428,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1450834,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
