id,name,photo,source,date_of_birth,party,cons,area,term
4580,ماجد امير عبد المقصود ابو الخير,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4580,http://www.parliament.gov.eg/members/,1980-07-19,مستقبل وطن,المنوفية,المنوفية,2015
4581,احمد نبيل عبد المحسن سلمان مدين,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4581,http://www.parliament.gov.eg/members/,1959-06-27,مستقل,المنوفية,المنوفية,2015
4582,شديد احمد شديد هنديه,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4582,http://www.parliament.gov.eg/members/,1961-05-08,الوفد الجديد,المنوفية,المنوفية,2015
4583,عصمت عبد الفتاح يس زايد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4583,http://www.parliament.gov.eg/members/,1968-06-20,مستقل,المنوفية,المنوفية,2015
4584,مليجى فتوح مليجى حسانين,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4584,http://www.parliament.gov.eg/members/,1955-12-22,مستقل,المنوفية,المنوفية,2015
4585,هشام محمد عبد الواحد ابو المجد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4585,http://www.parliament.gov.eg/members/,1965-03-19,مستقبل وطن,المنوفية,المنوفية,2015
4586,ابراهيم يحيى محمد خليف,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4586,http://www.parliament.gov.eg/members/,1972-10-26,مصر بلدى,المنوفية,المنوفية,2015
4587,عبد الحميد محمد عبد الحميد الشيخ,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4587,http://www.parliament.gov.eg/members/,1962-02-15,حزب السلام الديمقراطى,المنوفية,المنوفية,2015
4588,صابر احمد عبد القوى يوسف,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4588,http://www.parliament.gov.eg/members/,1967-02-01,مستقل,المنوفية,المنوفية,2015
4589,فايز ابراهيم بركات سيد احمد سالم,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4589,http://www.parliament.gov.eg/members/,1953-02-27,مستقل,المنوفية,المنوفية,2015
459,سعد سليم محمد الجمال,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=459,http://www.parliament.gov.eg/members/,1945-06-20,مستقل,الثانية,الثانية,2015
4590,محمود محمد محمد الخشن,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4590,http://www.parliament.gov.eg/members/,1954-02-15,مستقل,المنوفية,المنوفية,2015
4591,محمود محى الدين حسن عوض,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4591,http://www.parliament.gov.eg/members/,1970-03-14,مستقل,المنوفية,المنوفية,2015
4592,محمود مصطفى عثمان بسيونى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4592,http://www.parliament.gov.eg/members/,1947-11-13,مستقل,المنوفية,المنوفية,2015
4593,معتز كمال محمد الشاذلى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4593,http://www.parliament.gov.eg/members/,1974-03-18,مستقل,المنوفية,المنوفية,2015
4594,عبد الحكم عبد الله عبد الحكم شاهين,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4594,http://www.parliament.gov.eg/members/,1958-01-01,مستقل,المنوفية,المنوفية,2015
4595,سامى محمد حسن المشد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4595,http://www.parliament.gov.eg/members/,1961-04-29,المصريين الاحرار,المنوفية,المنوفية,2015
4596,حسام توفيق محمد رفاعى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4596,http://www.parliament.gov.eg/members/,1958-04-08,مستقل,شمال سيناء,شمال سيناء,2015
4597,رحمى عبد ربه عبد الرحمن محمد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4597,http://www.parliament.gov.eg/members/,1964-06-17,مستقل,شمال سيناء,شمال سيناء,2015
4598,عطية موسى جبلى صبيح,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4598,http://www.parliament.gov.eg/members/,1975-05-03,مستقل,جنوب سيناء,جنوب سيناء,2015
4599,نور سلامة احمد فتيح,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4599,http://www.parliament.gov.eg/members/,1978-11-07,مستقل,جنوب سيناء,جنوب سيناء,2015
460,احمد سميح جلال الدين درويش,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=460,http://www.parliament.gov.eg/members/,1959-08-25,مستقل,الجيزة,الجيزة,2015
4600,محمد الحمادى محمد الحصى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4600,http://www.parliament.gov.eg/members/,1957-04-25,مستقبل وطن,دمياط,دمياط,2015
4601,ضياء الدين عصام الدين محمد داود,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4601,http://www.parliament.gov.eg/members/,1975-10-17,مستقل,دمياط,دمياط,2015
4602,عاطف محمد عبد الجواد أحمد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4602,http://www.parliament.gov.eg/members/,1960-01-23,مستقل,بني سويف,بني سويف,2015
4603,عبد الرحمن محمد عبد الجواد احمد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4603,http://www.parliament.gov.eg/members/,1972-01-09,حماة الوطن,بني سويف,بني سويف,2015
4604,محمود عزت محمود أحمد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4604,http://www.parliament.gov.eg/members/,1984-09-22,مستقل,بني سويف,بني سويف,2015
4605,عمر جمال عمر محمد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4605,http://www.parliament.gov.eg/members/,1983-04-25,مستقبل وطن,الاسكندرية,الاسكندرية,2015
4606,صلاح عيسى مرسى عيسى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4606,http://www.parliament.gov.eg/members/,1951-10-22,مستقل,الاسكندرية,الاسكندرية,2015
4607,الهام خميس ابراهيم حسن,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4607,http://www.parliament.gov.eg/members/,1969-06-13,مستقل,الاسكندرية,الاسكندرية,2015
4608,عفيفى كامل عفيفى ابراهيم,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4608,http://www.parliament.gov.eg/members/,1950-04-29,مستقل,الاسكندرية,الاسكندرية,2015
