id,position,label,description,start_date,term,end_date,election,constituency,replaces,replaced_by
Q47529667,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529669,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529671,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529673,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529675,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47529676,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529680,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529681,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529684,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529686,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529687,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529690,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529691,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Mpumalanga,,
Q47529693,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529696,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Northern Cape,,
Q47529697,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47529699,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",North West,,
Q47529701,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Mpumalanga,,
Q47529703,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Northern Cape,,
Q47529704,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47529707,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-05-20,26th South African Parliament,,,,,
Q47529709,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529710,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-07-01,26th South African Parliament,,,,,
Q47529712,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529714,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529716,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-11-14,26th South African Parliament,,,,,
Q47529718,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-01-21,26th South African Parliament,,,,,
Q47529720,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529722,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-01,26th South African Parliament,,,,,
Q47529723,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-06-15,26th South African Parliament,,,,,
Q47529725,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529731,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-22,26th South African Parliament,,,,,
Q47529732,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-09-01,26th South African Parliament,,,,,
Q47529733,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529736,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529738,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529740,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47529741,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529744,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Mpumalanga,,
Q47529745,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-10-25,26th South African Parliament,,,,,
Q47529750,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529752,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529755,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529757,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529758,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
