id,name,start_date,end_date,constituency,constituency_id,party,party_id,term
Q47529873,Risimati Thompson Mavunda,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529875,Hlengiwe Octavia Mkhaliphi,2014-05-21,"",,,Economic Freedom Fighters,Q15613585,26
Q47529876,Thandi Cecilia Memela,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529877,Lindiwe Ntombikayise Mjobo,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529879,Humphrey Mdumzeli Zondelele Mmemezi,2014-05-21,"",,,African National Congress,Q83162,26
Q47529880,Tsepo Winston Mhlongo,2014-05-21,"",Gauteng,Q133083,Democratic Alliance,Q761877,26
Q47529881,Madipoane Refiloe Moremadi Mothapo,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529883,Sejamotopo Charles Motau,2014-05-21,"",Gauteng,Q133083,Democratic Alliance,Q761877,26
Q47529885,Maapi Angelina Molebatsi,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529887,Enock Muzi Mthethwa,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529888,Malusi Stanley Motimele,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529890,Julius Sello Malema,2014-05-21,"",,,Economic Freedom Fighters,Q15613585,26
Q47529891,Stella Tembisa Ndabeni-Abrahams,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529892,Nosilivere Winifred Magadla,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529894,Duduzile Promise Manana,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529895,Mogotle Friddah Nkadimeng,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529896,Girly Namhla Nobanda,2014-05-21,"",North West,Q165956,African National Congress,Q83162,26
Q47529898,Ian Michael Ollis,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529899,Molapi Andries Plouamma,2014-05-21,"",,,Agang South Africa,Q4969082,26
Q47529902,David Christie Ross,2014-05-21,"",Free State,Q160284,Democratic Alliance,Q761877,26
Q47529903,Maliyakhe Lymon Shelembe,2014-05-21,"",KwaZulu-Natal,Q81725,National Freedom Party,Q6972795,26
Q47529905,Nokulunga Primrose Sonti,2014-05-21,"",North West,Q165956,Economic Freedom Fighters,Q15613585,26
Q47529906,Vincent George Smith,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529908,Khethamabala Petros Sithole,2014-05-21,"",Gauteng,Q133083,Inkatha Freedom Party,Q654444,26
Q47529910,Terri Stander,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529911,Dirk Jan Stubbe,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529913,Thembinkosi Rawula,2014-05-21,"",Free State,Q160284,Economic Freedom Fighters,Q15613585,26
Q47529914,Belinda Bozzoli,2014-05-21,"",Gauteng,Q133083,Democratic Alliance,Q761877,26
Q47529915,Tandi Mahambehlala,2014-05-21,"",Western Cape,Q127167,African National Congress,Q83162,26
Q47529916,Mkhacani Joseph Maswanganyi,2014-05-21,"",,,African National Congress,Q83162,26
Q47529917,Agnes Tuck,2014-05-21,"",Northern Cape,Q132418,,,26
Q47529918,Robert Haydn Davies,2014-05-21,"",,,African National Congress,Q83162,26
Q47529919,Nthabiseng Pauline Khunou,2014-05-21,"",,,African National Congress,Q83162,26
Q47529920,Lusizo Sharon Makhubela-Mashele,2014-05-21,"",,,African National Congress,Q83162,26
Q47529921,Alan Ross Mcloughlin,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529922,Madala Backson Masuku,2014-05-21,"",,,African National Congress,Q83162,26
Q47529923,Roger William Tobias Chance,2014-05-21,"",Gauteng,Q133083,Democratic Alliance,Q761877,26
Q47529924,Mponeng Winston Rabotapi,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529925,Veronica Van Dyk,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529926,Gavin Richard Davis,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529927,Mmoba Solomon Malatsi,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529928,Pebane George Moteka,2014-05-21,"",,,Economic Freedom Fighters,Q15613585,26
Q47529930,Kevin John Mileham,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529931,Wilma Susan Newhoudt-Druchen,2014-05-21,"",,,African National Congress,Q83162,26
Q47529933,Nqabayomzi Lawrence Saziso Kwankwa,2014-05-21,"",,,United Democratic Movement,Q1788070,26
Q47529935,Yvonne Nkwenkwezi Phosa,2014-05-21,"",,,African National Congress,Q83162,26
Q47529936,Sarel Jacobus Francois Marais,2014-05-21,"",Western Cape,Q127167,Democratic Alliance,Q761877,26
Q47529937,Michael John Cardo,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529939,Mohlopi Philemon Mapulane,2014-05-21,"",North West,Q165956,African National Congress,Q83162,26
Q47529941,Mmamoloko Tryphosa Kubayi,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529942,Mary-Ann Lindelwa Dunjwa,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529943,Mncedisi Lutando Wellington Filtane,2014-05-21,"",Eastern Cape,Q130840,United Democratic Movement,Q1788070,26
Q47529945,Rembuluwani Moses Tseli,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529947,Thomas Charles Ravenscroft Walters,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529948,Zolile Roger Xalisa,2014-05-21,"",North West,Q165956,Economic Freedom Fighters,Q15613585,26
Q47529950,Joanmariae Louise Fubbs,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529952,Lehlohonolo Goodwill Mokoena,2014-05-21,"",,,Economic Freedom Fighters,Q15613585,26
Q47529954,Leigh-Ann Mathys,2014-05-21,"",Eastern Cape,Q130840,Economic Freedom Fighters,Q15613585,26
Q47529955,Walter Bongani Maphanga,2014-05-21,"",,,African National Congress,Q83162,26
Q47529956,Nokuzola Gladys Tolashe,2014-05-21,"",,,African National Congress,Q83162,26
Q47529958,Hermanus Bernadus Groenewald,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529960,Nomsa Innocencia Tarabella-Marchesi,2014-05-21,"",Free State,Q160284,Democratic Alliance,Q761877,26
Q47529961,Bhekokwakhe Hamilton Cele,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529962,Ahmed Munzoor Shaik Emam,2014-05-21,"",KwaZulu-Natal,Q81725,National Freedom Party,Q6972795,26
Q47529964,Sibongile Judith Nkomo,2014-05-21,"",,,Inkatha Freedom Party,Q654444,26
Q47529965,Nomathemba Theresia November,2014-05-21,"",,,African National Congress,Q83162,26
Q47529966,Ken Peter Robertson,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529967,Comely Humphrey Maqocwa Maxegwana,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529968,Semakaleng Patricia Kopane,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529969,Chantel King,2014-05-21,"",Eastern Cape,Q130840,Democratic Alliance,Q761877,26
Q47529972,Beauty Nomhle Dambuza,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529973,Thandeka Moloko Mbabama,2014-05-21,"",Eastern Cape,Q130840,Democratic Alliance,Q761877,26
Q47529974,Boitumelo Joyce Maluleke,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529976,Zwelivelile Mandlesizwe Dalibhunga Mandela,2014-05-21,"",,,African National Congress,Q83162,26
Q47529978,Ross Kriel Purdon,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529980,Gugile Ernest Nkwinti,2014-05-21,"",,,African National Congress,Q83162,26
Q47529981,Grace Naledi Mandisa Pandor,2014-05-21,"",,,African National Congress,Q83162,26
Q47529984,John Harold Jeffery,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529985,Sango Patekile Holomisa,2014-05-21,"",,,African National Congress,Q83162,26
Q47529987,Andries Carl Nel,2014-05-21,"",,,African National Congress,Q83162,26
Q47529988,Gerhardus Cornelius Oosthuizen,2014-05-21,"",,,African National Congress,Q83162,26
Q47529989,Mamagase Elleck Nchabeleng,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
