id,name,sort_name,given_name,family_name,name__ar,party,party_id,party__ar,constituency,province,start_date,end_date,gender,name__en,term
35,Jamal Messaoudi,Messaoudi Jamal,Jamal,Messaoudi,جمال المسعودي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,TAZA,TAZA,2016-10-07,,,Jamal Messaoudi,10
350,Mohamed Nacer,Nacer Mohamed,Mohamed,Nacer,محمد ناصر,Parti de l'Union Constitutionnelle,UC,حزب الاتحاد الدستوري,TAOURIRT,TAOURIRT,2016-10-07,,,Mohamed Nacer,10
351,Mohamed Joudar,Joudar Mohamed,Mohamed,Joudar,محمد جودار,Parti de l'Union Constitutionnelle,UC,حزب الاتحاد الدستوري,BEN M'SICK,BEN M'SICK,2016-10-07,,,Mohamed Joudar,10
352,Driss Qechal,Qechal Driss,Driss,Qechal,ادريس قشال,Parti de l'Union Constitutionnelle,UC,حزب الاتحاد الدستوري,MEKNES,MEKNES,2016-10-07,,,Driss Qechal,10
353,Redouane Mohaddab,Mohaddab Redouane,Redouane,Mohaddab,رضوان مهذب,Parti de l'Union Constitutionnelle,UC,حزب الاتحاد الدستوري,EL JADIDA,EL JADIDA,2016-10-07,,,Redouane Mohaddab,10
354,Abdellatif Mirdass,Mirdass Abdellatif,Abdellatif,Mirdass,عبداللطيف ميرداس,Parti de l'Union Constitutionnelle,UC,حزب الاتحاد الدستوري,SETTAT,SETTAT,2016-10-07,,,Abdellatif Mirdass,10
355,Belassal Chaoui,Chaoui Belassal,Belassal,Chaoui,الشاوي بالعسال,Parti de l'Union Constitutionnelle,UC,حزب الاتحاد الدستوري,El GHARB,KENITRA,2016-10-07,,,Belassal Chaoui,10
356,Yassine Erradi,Erradi Yassine,Yassine,Erradi,ياسين الراضي,Parti de l'Union Constitutionnelle,UC,حزب الاتحاد الدستوري,SIDI SLIMANE,SIDI SLIMANE,2016-10-07,,,Yassine Erradi,10
357,Hassan Aarif,Aarif Hassan,Hassan,Aarif,حسن عاريف,Parti de l'Union Constitutionnelle,UC,حزب الاتحاد الدستوري,SKHIRATE - TEMARA,SKHIRATE - TEMARA,2016-10-07,,,Hassan Aarif,10
358,Abderahmane Harfi,Harfi Abderahmane,Abderahmane,Harfi,عبد الرحمان حرفي,Parti de l'Union Constitutionnelle,UC,حزب الاتحاد الدستوري,SIDI KACEM,SIDI KACEM,2016-10-07,,,Abderahmane Harfi,10
